names,date,score,genre,country
Pets United,9/11/2020,59,"Animation, Family, Adventure, Comedy",AU
Superwho?,2/2/2022,64,"Comedy, Action",FR
Cowboys & Aliens,8/18/2011,56,"Action, Science Fiction, Thriller, Western",AU
Senior Year,5/13/2022,59,Comedy,AU
Resident Evil: Degeneration,10/18/2008,68,"Animation, Horror, Action, Science Fiction",AU
100% Wolf,5/29/2020,60,"Animation, Family, Fantasy",AU
Boyz n the Hood,11/12/1991,76,"Crime, Drama",AU
My Policeman,10/21/2022,79,"Drama, Romance",US
Dragonball Evolution,2/27/2009,29,"Action, Adventure, Fantasy, Science Fiction, Thriller",AU
Movie 43,2/7/2013,46,Comedy,AU
Step Up 2: The Streets,3/20/2008,67,"Music, Drama, Romance",AU
The Town of Ghosts,1/8/2022,20,"Thriller, Horror",CN
El lado salvaje,12/1/2022,50,"Thriller, Drama",AR
Kuroko's Basketball the Movie: Last Game,3/18/2017,78,Animation,JP
Magic Mike,7/26/2012,62,"Drama, Comedy",AU
Overlord,12/13/2018,67,"Horror, War, Science Fiction",AU
Aladdin and the King of Thieves,7/31/1996,63,"Adventure, Animation, Family",AU
Tomorrowland,5/28/2015,62,"Adventure, Family, Mystery, Science Fiction",AU
Friend Couples: Swapping,2/14/2017,30,"Romance, Drama",KR
The Rock,6/21/1996,71,"Action, Adventure, Thriller",AU
The Mountain Between Us,10/19/2017,66,"Drama, Adventure, Romance",AU
He's Just Not That Into You,2/9/2009,65,"Comedy, Romance, Drama",AU
Wolf Children,8/18/2021,82,"Animation, Family, Drama, Fantasy, Adventure",AU
Of Gods and Men,9/8/2010,66,"Drama, History",FR
Trinity Seven 2: Heaven's Library & Crimson Lord,3/29/2019,80,"Animation, Action, Fantasy, Comedy",JP
Secret Magic Control Agency,3/25/2021,72,"Animation, Comedy, Fantasy",AU
The Princess Diaries 2: Royal Engagement,10/15/2004,67,"Comedy, Drama, Family, Romance",AU
8 Mile,1/16/2003,71,"Drama, Music",AU
"Lagunas, la guarida del diablo",5/11/2022,48,Horror,ES
xXx,10/3/2002,59,"Action, Adventure, Thriller",AU
Hunter x Hunter: The Last Mission,12/27/2013,69,"Adventure, Animation, Action, Fantasy",JP
Alvin and the Chipmunks: The Road Chip,12/26/2015,60,"Adventure, Animation, Comedy, Family",AU
Point Break,1/1/1992,71,"Action, Thriller, Crime",AU
Point Break,1/1/1992,71,"Action, Thriller, Crime",AU
Showing Up,4/7/2023,65,"Comedy, Drama",US
The Sword,10/18/2021,53,,CN
Epic,6/13/2013,65,"Animation, Adventure, Family, Fantasy",AU
Berserk: The Golden Age Arc I - The Egg of the King,2/3/2012,74,"Action, Adventure, Fantasy, Animation",JP
It’s Your Fault That My Heart Beats,6/4/2021,73,"Romance, Drama",JP
Night at the Museum: Battle of the Smithsonian,5/21/2009,61,"Adventure, Fantasy, Action, Comedy, Family",AU
Hop,4/7/2011,57,"Animation, Comedy, Family",AU
Highlander,7/17/1986,69,"Adventure, Action, Fantasy",AU
Raped by an Angel 3: Sexual Fantasy of the Chief Executive,7/3/1998,52,Thriller,HK
The Irishman,11/6/2019,76,"Crime, Drama, History",AU
Gone Mom: The Disappearance of Jennifer Dulos,6/5/2021,78,"TV Movie, Thriller, Crime",US
Walking with Dinosaurs,1/1/2014,61,"Animation, Family, Adventure",AU
The Accountant,12/16/2016,71,"Crime, Thriller, Drama",AU
"Me, Myself & Irene",6/22/2000,66,Comedy,AU
Never Back Down 2: The Beatdown,9/13/2011,65,"Drama, Action",US
The Huntsman: Winter's War,4/7/2016,63,"Action, Adventure, Drama",AU
Marriage Story,11/6/2019,78,Drama,AU
17 Again,3/11/2009,63,Comedy,AU
Carrie,11/4/2002,61,"Drama, Horror, TV Movie",US
Carrie,11/4/2002,61,"Drama, Horror, TV Movie",US
Ghost in the Shell,9/23/1995,79,"Action, Animation, Science Fiction",AU
Chungking Express,12/26/1995,80,"Drama, Comedy, Romance",AU
Charlie's Angels,11/14/2019,65,"Action, Adventure, Comedy",AU
The Great Gatsby,5/30/2013,74,"Drama, Romance",AU
The Great Gatsby,5/30/2013,74,"Drama, Romance",AU
A Beautiful Mind,12/11/2001,79,"Drama, Romance",AU
Monsters of Man,11/19/2020,65,Science Fiction,AU
The Taste of Married Women,11/13/2018,0,,CN
Rape Zombie: Lust of the Dead 5,9/3/2014,55,Horror,JP
Storks,9/22/2016,66,"Adventure, Animation, Comedy, Family",AU
Triple Frontier,3/6/2019,63,"Action, Thriller, Crime, Adventure",US
Moana,12/26/2016,76,"Adventure, Comedy, Family, Animation",AU
Beetlejuice,9/8/1988,74,"Fantasy, Comedy",AU
Naruto the Movie: Ninja Clash in the Land of Snow,8/21/2004,73,"Comedy, Action, Animation, Adventure",JP
Barbie Mariposa & the Fairy Princess,8/26/2013,69,"Animation, Family, Fantasy",GB
Don't Blame the Kid,5/13/2016,77,"Comedy, Romance",MX
Young Mom 2,3/22/2019,10,Romance,KR
Underwater,1/23/2020,63,"Horror, Science Fiction, Action, Adventure",AU
Kate,9/10/2021,67,Action,US
Mirai,6/16/2018,72,"Animation, Family, Fantasy, Adventure, Drama",AU
After Earth,6/5/2013,52,"Science Fiction, Action, Adventure",AU
The Hitman's Bodyguard,8/31/2017,69,"Action, Comedy",AU
Con Air,7/17/1997,67,"Action, Thriller, Crime",AU
From Russia with Love,1/2/1964,71,"Action, Thriller, Adventure",AU
The Wedding Ringer,2/12/2015,65,Comedy,AU
Teenage Mutant Ninja Turtles,8/2/1990,66,"Science Fiction, Action, Adventure, Comedy, Family",AU
Teenage Mutant Ninja Turtles,8/2/1990,66,"Science Fiction, Action, Adventure, Comedy, Family",AU
Irreversible,2/12/2004,72,"Drama, Thriller, Crime, Mystery",AU
Point Break,1/1/2016,59,"Action, Adventure, Crime, Thriller",AU
Point Break,1/1/2016,59,"Action, Adventure, Crime, Thriller",AU
Money Heist: The Phenomenon,4/3/2020,75,Documentary,US
The Man from Earth: Holocene,10/13/2017,57,"Drama, Science Fiction",US
Death Wish,3/2/2018,61,"Action, Crime, Drama, Thriller",AU
10.0 Earthquake,10/15/2014,50,"Drama, Adventure, Action",US
Paranormal Activity: The Marked Ones,1/30/2014,54,"Horror, Thriller",AU
Blood Red Sky,7/23/2021,70,"Horror, Thriller, Action",AU
The Others,11/8/2001,76,"Horror, Mystery, Thriller",AU
Death Race,10/30/2008,62,"Action, Thriller, Science Fiction",AU
Son of the Mask,2/18/2005,41,"Fantasy, Comedy, Family, Adventure",US
Splatter: Naked Blood,2/20/1996,59,"Science Fiction, Horror",JP
The Beasts,7/20/2022,75,"Thriller, Drama",FR
Riverdance: The Animated Adventure,1/14/2022,59,"Animation, Fantasy, Music, Adventure, Comedy, Family",US
Fiona,10/26/2022,70,Horror,US
21 Jump Street,3/14/2012,69,"Action, Comedy, Crime",AU
"Confess, Fletch",9/16/2022,63,"Crime, Comedy, Mystery",US
CODA,8/5/2021,80,"Drama, Music, Romance",AU
The Happening,6/12/2008,53,"Thriller, Science Fiction",AU
Ouija: Origin of Evil,10/21/2016,61,Horror,US
The House of the Lost on the Cape,8/27/2021,58,"Animation, Drama, Family",JP
Step Up 3D,8/4/2010,68,"Drama, Romance",AU
The Babysitter: Killer Queen,9/10/2020,64,"Comedy, Horror",AU
Yes Man,1/1/2009,67,"Comedy, Romance",AU
Naruto ga Hokage Ni Natta Hi,7/6/2016,68,"Animation, Drama, Fantasy",JP
Mamma Mia!,7/10/2008,70,"Comedy, Romance",AU
Ghost,10/25/1990,72,"Fantasy, Drama, Thriller, Mystery, Romance",AU
Sanctum,2/3/2011,60,"Action, Thriller",AU
Mrs. Harris Goes to Paris,10/27/2022,73,"Drama, Comedy",AU
The Last 10 Years,3/4/2022,67,"Drama, Romance",JP
Unconditional,9/21/2012,68,Drama,US
Inuyasha the Movie 3: Swords of an Honorable Ruler,12/20/2003,78,"Animation, Fantasy, Adventure",JP
Exorcist: The Beginning,8/20/2004,54,"Horror, Mystery, Thriller",US
Dunkirk,7/20/2017,75,"War, Action, Drama",AU
Aristotle and Dante Discover the Secrets of the Universe,9/10/2022,73,Drama,CA
Meet the Spartans,2/28/2008,40,Comedy,AU
Rape Zombie: Lust of the Dead 3,3/23/2013,58,"Horror, Comedy",JP
Chunin Exam on Fire! and Naruto vs. Konohamaru!,7/30/2011,67,"Animation, Action",JP
Mickey and Minnie Wish Upon a Christmas,12/2/2021,69,Animation,US
No Good Deed,9/12/2014,60,"Crime, Thriller",US
Percy Jackson: Sea of Monsters,8/15/2013,60,"Adventure, Family, Fantasy",AU
Seitokai Yakuindomo the Movie 2,1/1/2021,63,"Animation, Comedy",JP
Sniper: Ghost Shooter,8/2/2016,64,"Action, Drama, War",US
Pelé: Birth of a Legend,5/6/2016,74,Drama,US
The Founder,11/24/2016,71,"Drama, History",AU
High School Musical 3: Senior Year,10/11/2008,66,"Comedy, Romance, Drama, Family, Music",AU
Step Up Revolution,8/2/2012,69,"Music, Drama, Romance",AU
The Social Network,10/28/2010,73,Drama,AU
Game Night,10/5/2018,68,"Mystery, Comedy, Crime",AU
Dragon Ball Z: Dead Zone,7/15/1989,67,"Animation, Action, Fantasy",JP
Bleeding Steel,12/22/2017,59,"Action, Science Fiction, Thriller",CN
Franco Escamilla: Eavesdropping,10/23/2022,87,Comedy,MX
The Courier,4/1/2021,70,"Thriller, History, Drama, Action",AU
"Swapping, That Dangerous Sex",10/20/2020,0,Romance,KR
Malicious,3/29/1973,71,Comedy,IT
Thunder Force,4/9/2021,56,"Action, Adventure, Comedy, Science Fiction",AU
Zathura: A Space Adventure,3/9/2006,64,"Science Fiction, Adventure, Family",AU
Pretty Woman,5/3/1990,74,"Comedy, Romance",AU
Stromboli,11/3/2022,53,Drama,NL
The Day After Tomorrow,5/27/2004,65,"Action, Adventure, Science Fiction, Thriller",AU
Trigger Point,4/23/2021,65,"Action, Thriller",US
The Nutcracker and the Four Realms,11/22/2018,61,"Fantasy, Adventure, Family",AU
The In Between,2/11/2022,73,"Romance, Science Fiction, Drama",US
Wonder,11/30/2017,82,"Drama, Family",AU
Poker Face,11/22/2022,59,Thriller,AU
Wanted,7/31/2008,65,"Action, Thriller, Crime",AU
Trolls Holiday,11/1/2017,67,"Adventure, Animation, Family, Fantasy",AU
Spy Kids 2: The Island of Lost Dreams,1/9/2003,56,"Action, Adventure, Family, Comedy, Science Fiction",AU
47 Ronin,1/16/2014,62,"Drama, Action, Fantasy",AU
Mirage,3/22/2019,75,"Thriller, Drama, Mystery, Fantasy",AU
"Batman: The Dark Knight Returns, Part 2",1/3/2013,80,"Science Fiction, Action, Animation, Mystery",AU
Friday the 13th,2/13/2009,57,Horror,US
Friday the 13th,2/13/2009,57,Horror,US
Pride and Prejudice and Zombies,2/25/2016,62,"Romance, Horror, Comedy, Thriller",AU
Freddy's Dead: The Final Nightmare,9/13/1991,53,"Horror, Thriller",US
Mahjong Nights,11/12/2021,62,Drama,PH
The Ant Bully,9/28/2006,57,"Fantasy, Adventure, Animation, Comedy, Family",AU
Anna,9/5/2019,67,"Thriller, Action",AU
Anna,9/5/2019,67,"Thriller, Action",AU
The Man from Nowhere,5/6/2011,77,"Action, Thriller, Crime",AU
Comrade,5/18/2006,60,"Action, Drama",IL
"Batman: The Dark Knight Returns, Part 1",8/21/2012,77,"Science Fiction, Action, Animation, Mystery",AU
EO,4/6/2023,66,Drama,AU
Parasyte: Part 1,11/29/2014,71,"Science Fiction, Horror",JP
The Letters,12/4/2015,59,Drama,US
Scooby-Doo 2: Monsters Unleashed,4/1/2004,60,"Mystery, Fantasy, Adventure, Comedy",AU
Spies in Disguise,1/1/2020,77,"Animation, Action, Adventure, Comedy, Family",AU
Porco Rosso,4/13/2005,78,"Family, Comedy, Animation, Adventure",AU
The Possession of Hannah Grace,11/30/2018,56,"Horror, Drama",US
Erotic Tutoring,12/20/2016,54,"Romance, Comedy, Drama",KR
Fantastic Four,7/7/2005,58,"Action, Adventure, Fantasy, Science Fiction",AU
Army of Darkness,4/22/1993,73,"Fantasy, Horror, Comedy",AU
Tomb Raider,3/5/2018,64,"Action, Adventure, Fantasy",AU
Sky High,12/18/2020,61,"Action, Drama, Thriller",ES
One Day,8/24/2011,74,"Drama, Romance",AU
The Apostle,10/1/2014,65,Drama,FR
Curse of Chucky,10/8/2013,59,"Horror, Thriller",US
Rape Zombie: Lust of the Dead 2,3/23/2013,46,"Horror, Comedy",JP
Tenor,5/4/2022,72,"Comedy, Drama",FR
Species,8/3/1995,59,"Science Fiction, Horror, Action",AU
An American Werewolf in London,9/1/1981,74,"Horror, Comedy",AU
Hellboy,8/19/2004,67,"Fantasy, Action",AU
Hellboy,8/19/2004,67,"Fantasy, Action",AU
The Communion Girl,2/10/2023,51,Horror,ES
Event Horizon,10/9/1997,65,"Horror, Science Fiction, Mystery",AU
Mad Max,4/12/1979,67,"Adventure, Action, Thriller, Science Fiction",AU
Scooby-Doo! Curse of the Lake Monster,6/29/2011,62,"Mystery, Fantasy, Comedy, Adventure",AU
Journey to the Center of the Earth,12/16/1959,70,"Adventure, Fantasy, Family",US
Widows,1/29/2019,65,"Crime, Thriller",AU
Ivy + Bean: Doomed to Dance,9/2/2022,75,"Family, Comedy",US
Escape from Alcatraz,12/6/1979,75,"Drama, Thriller",AU
Motherly,9/23/2021,58,"Thriller, Horror",CA
Leprechaun 3,7/5/1995,59,"Comedy, Horror",US
A Night at the Kindergarten,12/28/2022,58,Comedy,US
Quella provincia maliziosa,1/1/1975,37,Comedy,IT
Cloudy Mountain,9/17/2021,75,"Action, Adventure, Drama",CN
Vanquish,5/31/2021,56,"Action, Crime, Thriller",AU
Duende Maldito 2,4/8/1994,55,"Comedy, Horror",US
Fugitive: The Curious Case of Carlos Ghosn,10/26/2022,65,Documentary,US
Countdown,11/21/2019,63,"Horror, Thriller",AU
13 Assassins,9/8/2011,73,"Adventure, Drama, Action",AU
Evan Almighty,12/9/2007,56,"Fantasy, Comedy, Family",AU
Violence Porno: Rope and Rape,6/1/1982,30,Thriller,JP
Mr. Peabody & Sherman,3/27/2014,67,"Animation, Adventure, Family",AU
The Orphanage,5/29/2008,72,"Horror, Drama, Thriller",AU
Rurouni Kenshin Part I: Origins,8/25/2012,76,"Adventure, Action, Drama, History",JP
Passengers,12/29/2016,69,"Drama, Romance, Science Fiction",AU
Black Emanuelle,11/27/1975,46,"Drama, Romance, Adventure",IT
Officetel - Skillful Ones,6/7/2019,0,Romance,KR
Ella Enchanted,12/16/2020,64,"Family, Fantasy, Comedy",AU
The Terminal,6/17/2004,73,"Comedy, Drama",AU
The Karate Kid,9/27/1984,72,"Action, Family, Drama",AU
The Karate Kid,9/27/1984,72,"Action, Family, Drama",AU
Mary Poppins,8/23/1965,76,"Comedy, Family, Fantasy",AU
The Hunchback of Notre Dame II,3/19/2002,54,"Animation, Family, Comedy",US
The Outsiders,12/15/1983,73,"Crime, Drama",AU
In the Arms of an Assassin,12/6/2019,80,"Romance, Thriller",US
Bad Lieutenant: Port of Call - New Orleans,11/20/2009,61,"Drama, Crime",US
Hello World,9/20/2019,73,"Animation, Romance, Science Fiction",JP
Garfield: A Tail of Two Kitties,9/14/2006,55,"Animation, Comedy, Family, Adventure",AU
I Still Believe,3/13/2020,76,"Music, Drama, Romance",US
"Good Luck to You, Leo Grande",8/18/2022,70,"Comedy, Romance, Drama",AU
Transporter 3,1/28/2009,61,"Action, Adventure, Thriller, Crime",AU
Coming to America,8/25/1988,69,"Comedy, Romance",AU
Rumble,3/28/2022,69,"Animation, Family",AU
Delicious Room Salon Service,8/9/2018,68,Romance,KR
Barbie: Spy Squad,3/1/2016,69,"Action, Animation, Family",US
Sarah's Key,12/23/2010,73,"Drama, War",AU
Regular Show: The Movie,11/28/2015,79,"Animation, Comedy, Science Fiction, TV Movie",AU
The Bourne Ultimatum,8/17/2007,74,"Action, Drama, Mystery, Thriller",AU
V for Vendetta,3/30/2006,79,"Action, Thriller, Science Fiction",AU
AVP: Alien vs. Predator,9/30/2004,59,"Adventure, Science Fiction, Action, Horror",AU
Pandemic,10/5/2016,49,"Action, Science Fiction, Horror",AU
Dungeons & Dragons: The Book of Vile Darkness,11/23/2012,43,"Adventure, Fantasy, TV Movie",US
Double Impact,10/23/1991,61,"Thriller, Action, Crime, Drama",AU
The Greatest Showman,12/26/2017,79,Drama,AU
The Fly,2/13/1987,74,"Horror, Science Fiction",GB
No Game No Life: Zero,7/15/2017,79,"Animation, Action, Drama",JP
Centauro,6/15/2022,63,"Action, Crime, Thriller",SG
The Little Things,2/18/2021,63,"Crime, Drama, Thriller",AU
Unforgetful Holiday,10/1/1992,55,Drama,HK
Freaky Friday,9/18/2003,64,"Comedy, Family, Fantasy",AU
The Wind Rises,2/27/2014,78,"Drama, Animation, War, Romance",AU
RED 2,8/1/2013,65,"Action, Comedy, Crime, Thriller",AU
Atomic Blonde,8/3/2017,64,"Action, Thriller",AU
The Last Witch Hunter,10/29/2015,59,"Fantasy, Action, Adventure",AU
The Corpse of Anna Fritz,10/30/2015,69,"Drama, Thriller",ES
Bosomy Tae-hee,2/27/2020,65,Romance,KR
The Price of Family,12/19/2022,65,Comedy,IT
Fatherhood,6/18/2021,76,"Drama, Comedy",AU
Young Aunt 2,8/22/2019,10,Romance,KR
Rumble in the Bronx,5/16/1996,68,"Crime, Action, Comedy, Thriller",AU
Magic Mike XXL,7/9/2015,62,"Comedy, Drama",AU
Idiocracy,1/3/2007,63,"Comedy, Science Fiction, Adventure",AU
Basic Instinct,5/14/1992,69,"Thriller, Mystery",AU
Infidelity in Suburbia,2/25/2017,64,"Thriller, TV Movie",US
How to Blow Up a Pipeline,4/7/2023,70,"Crime, Drama, Thriller",US
Hostel,2/23/2006,59,Horror,AU
Level 16,3/15/2019,68,"Science Fiction, Thriller",CA
Pinocchio,9/29/2020,66,"Drama, Family, Fantasy",AU
Pinocchio,9/29/2020,66,"Drama, Family, Fantasy",AU
Pinocchio,9/29/2020,66,"Drama, Family, Fantasy",AU
The Key,10/19/1983,60,"Drama, Romance",IT
Leroy & Stitch,6/23/2006,66,"Animation, Comedy, Family",US
Ride or Die,4/15/2021,65,"Drama, Romance, Thriller",JP
Space Jam,12/12/1996,68,"Family, Animation, Comedy, Science Fiction",AU
Polar,1/25/2019,62,"Action, Crime, Drama",US
Togo,12/20/2019,82,"Adventure, Family",US
Blue Lagoon: The Awakening,6/16/2012,65,"Drama, Adventure, Romance, TV Movie",US
Given,8/22/2020,83,"Animation, Drama, Music, Romance",JP
Donnie Darko,10/16/2002,78,"Fantasy, Drama, Mystery",AU
mother!,10/12/2017,70,"Drama, Horror, Mystery",AU
Planes: Fire & Rescue,9/18/2014,61,"Animation, Comedy, Adventure, Family",AU
Pelé,2/23/2021,75,Documentary,GB
The Transporter Refueled,9/3/2015,55,"Action, Thriller, Crime",AU
Sniper: Ultimate Kill,10/3/2017,65,Action,US
Dragon Ball: Curse of the Blood Rubies,12/20/1986,68,"Action, Animation, Adventure, Comedy, Fantasy, Science Fiction",JP
Far from the Tree,11/24/2021,81,"Animation, Family",US
Demolition Man,12/2/1993,67,"Crime, Action, Science Fiction",AU
Unfaithful,7/11/2002,66,"Thriller, Drama",AU
Space Pirate Captain Harlock,3/19/2014,66,"Animation, Science Fiction",AU
Dark Blood,10/7/2021,55,"Crime, Drama",US
Sex and Lucía,8/24/2001,67,"Drama, Romance",ES
The Ark,3/30/2015,63,"TV Movie, Drama",GB
The Thing,10/13/2011,62,"Horror, Science Fiction, Mystery, Thriller",AU
Jason Bourne,7/28/2016,63,"Action, Thriller, Mystery",AU
The Hateful Eight,1/8/2016,77,"Drama, Mystery, Western",AU
Down,2/1/2019,69,"Horror, Drama, Thriller",US
Snatch,11/9/2000,78,"Crime, Comedy",AU
Cristiano de la Secreta,1/1/2009,72,Comedy,DO
The Shape of Water,12/15/2017,72,"Drama, Fantasy, Romance",AU
Lockout,7/12/2012,59,"Action, Thriller, Science Fiction",AU
A Nightmare on Elm Street,5/20/2010,55,"Horror, Mystery, Thriller",AU
A Nightmare on Elm Street,5/20/2010,55,"Horror, Mystery, Thriller",AU
Ace Ventura: Pet Detective,4/28/1994,65,"Comedy, Adventure",AU
Enemy at the Gates,7/26/2001,74,"Drama, War, History",AU
Tooth Fairy,1/14/2010,55,"Comedy, Family, Fantasy",AU
Friday the 13th: The Final Chapter,4/13/1984,61,Horror,US
The League of Extraordinary Gentlemen,10/2/2003,60,"Fantasy, Action, Thriller, Science Fiction",AU
The Hunt,4/9/2020,67,"Action, Thriller, Horror",AU
Suki,2/24/2023,30,Drama,PH
Dark Waters,3/5/2020,75,"Drama, Thriller",AU
Clown,6/17/2016,57,Horror,US
Time Trap,5/19/2017,62,"Science Fiction, Adventure",US
Deuce Bigalow: European Gigolo,9/22/2005,52,Comedy,AU
House of the Witch,10/7/2017,47,"Horror, TV Movie",US
Bombshell,1/1/2020,68,Drama,AU
Que Viva Mexico!,11/1/1979,71,"Documentary, History",US
Jackass Forever,2/3/2022,68,"Comedy, Documentary",AU
Us X Her,11/25/2022,58,"Drama, Romance, Thriller",PH
Beau Is Afraid,4/20/2023,0,"Comedy, Drama, Horror, Adventure",AU
We Were Soldiers,4/25/2002,71,"Action, History, War",AU
Furies,12/30/2022,62,"Action, Drama",VN
The King's Daughter,1/21/2022,72,"Fantasy, Adventure, Family",US
Yu Pui Tsuen III,8/10/1996,49,Drama,HK
Palmer,1/29/2021,80,Drama,AU
Deep Blue Sea 3,7/28/2020,58,"Action, Horror, Science Fiction",US
The Silence,4/10/2019,60,"Horror, Drama, Thriller, Fantasy",US
50 First Dates,3/25/2004,68,"Comedy, Romance",AU
Trading Places,1/26/1984,72,Comedy,AU
Endless Love,7/17/1981,57,"Romance, Drama",US
A Dog's Way Home,2/5/2019,73,"Drama, Adventure, Family",AU
Rings,5/31/2017,50,Horror,AU
Fear Street: 1666,7/16/2021,72,"Mystery, Horror",AU
Friend's Mothers,7/5/2018,0,Romance,KR
Barbie: The Princess & The Popstar,9/30/2012,72,"Family, Animation",US
A Nightmare on Elm Street Part 2: Freddy's Revenge,11/1/1985,58,Horror,US
Hummingbird,10/24/2013,62,"Action, Thriller",AU
Logan Lucky,8/17/2017,67,"Comedy, Crime, Action, Drama",AU
Hot Girls Wanted,5/29/2015,60,Documentary,US
South Park: Post COVID: The Return of COVID,12/16/2021,74,"Animation, Comedy, TV Movie",US
Doomsday,10/1/2008,60,"Action, Thriller, Science Fiction",AU
The Outlaws,10/3/2017,78,"Action, Crime",KR
Frankenweenie,10/25/2012,69,"Animation, Comedy, Family",AU
2 Guns,10/24/2013,65,"Action, Comedy, Crime",AU
The Raffle,11/15/1991,70,Drama,IT
Young & Beautiful,4/30/2014,64,Drama,AU
Cell 211,7/26/2010,75,"Action, Thriller, Drama",AU
"I, Tonya",1/25/2018,75,Drama,AU
The Wailer,6/20/2006,69,Horror,US
Scarface,4/9/1932,75,"Action, Crime, Drama, Thriller",US
Horrible Bosses 2,12/11/2014,62,Comedy,AU
The Secret World of Arrietty,12/19/2010,76,"Fantasy, Animation, Family",AU
A Cinderella Story,3/31/2010,65,"Comedy, Family, Romance",AU
Bloodsport,4/29/1988,70,"Action, Drama",AU
American Beauty,1/26/2000,80,Drama,AU
Reservoir Dogs,7/30/1993,81,"Crime, Thriller",AU
The Invisible Man,2/27/2020,71,"Thriller, Science Fiction, Horror",AU
Accident Man: Hitman's Holiday,10/14/2022,69,"Action, Comedy, Crime",US
Buddha 2: The Endless Journey,2/8/2014,76,"Animation, Drama, History",JP
Paddington 2,12/21/2017,75,"Adventure, Comedy, Family",AU
A Knight's Tale,8/23/2001,69,"Adventure, Drama, Romance, Action",AU
Dora and the Lost City of Gold,9/19/2019,67,"Adventure, Comedy, Family, Fantasy",AU
High School Musical,6/10/2006,66,"Comedy, Drama, Family, Music, Romance, TV Movie",AU
Ghost Ship,12/5/2002,59,"Horror, Mystery, Thriller",AU
Za gyakutai: Nyotai ikedori-hen,7/18/1987,65,,JP
EverAfter,10/9/1998,74,"Drama, Romance, Comedy",AU
A Classic Horror Story,7/14/2021,59,"Horror, Mystery",IT
Jack Ryan: Shadow Recruit,1/16/2014,61,"Action, Drama, Thriller",AU
A Time to Kill,8/15/1996,74,"Crime, Drama, Thriller",AU
Into the Storm,9/3/2014,60,"Action, Thriller",AU
Stonehearst Asylum,10/24/2014,68,"Thriller, Mystery, Horror",US
Carrie,11/13/2013,60,"Drama, Horror",AU
Carrie,11/13/2013,60,"Drama, Horror",AU
Rookie of the Year,12/30/1993,61,"Family, Comedy",AU
Dominion: Prequel to The Exorcist,5/20/2005,53,Horror,US
2 Hearts,10/16/2020,75,"Romance, Drama",US
First Love,6/17/2022,59,"Romance, Drama",US
Bird Box,12/21/2018,69,"Thriller, Drama, Science Fiction",AU
Horrible Bosses,8/25/2011,66,"Comedy, Crime",AU
Young Mom,2/28/2017,0,Romance,KR
The Forgiven,7/28/2022,59,Drama,AU
The Mechanic,3/23/2011,65,"Action, Thriller, Crime",AU
The Adventures of Tintin,12/26/2011,69,"Adventure, Animation, Mystery",AU
DodgeBall: A True Underdog Story,9/9/2004,63,Comedy,AU
Greta,2/28/2019,66,"Mystery, Thriller, Horror",AU
Us,3/28/2019,70,"Horror, Thriller, Mystery",AU
Leatherface,10/20/2017,55,"Horror, Thriller, Mystery",US
Young Mother: The Original,6/23/2016,56,"Drama, Romance",KR
Barbie in the Pink Shoes,9/11/2017,68,"Animation, Family",AU
Sentinelle,3/5/2021,59,"Thriller, Action, Drama",FR
The Little Prince,7/29/2015,76,"Adventure, Animation, Fantasy, Family",FR
Into the Wild,9/11/2007,78,"Adventure, Drama",AU
Tremors,1/19/1990,69,"Horror, Comedy, Action, Science Fiction",US
Stuart Little 2,9/19/2002,57,"Family, Adventure, Animation, Comedy",AU
Vertigo,1/23/1959,82,"Mystery, Romance, Thriller",AU
The King's Avatar: For the Glory,8/16/2019,67,"Animation, Action, Adventure, Fantasy",CN
Chinese Zodiac,6/12/2014,62,"Action, Adventure",AU
Cobra,10/1/1986,60,"Action, Crime, Thriller",AU
The Return of the Living Dead,10/24/1985,71,"Horror, Comedy",AU
Sex Is Zero,12/13/2002,61,"Comedy, Drama",KR
Uncut Gems,1/31/2020,71,"Drama, Thriller, Crime",AU
Herbie Fully Loaded,6/23/2005,57,"Comedy, Family, Adventure, Fantasy, Romance",AU
It Boy,3/6/2013,63,Comedy,FR
Rubius X,7/21/2022,85,Documentary,ES
Everybody Hates Johan,9/1/2022,59,Comedy,AU
Pocahontas II: Journey to a New World,8/4/1998,55,"Family, Adventure, Animation, Romance",US
John Q,5/2/2002,71,"Drama, Thriller, Crime",AU
The Perks of Being a Wallflower,11/29/2012,78,Drama,AU
One Piece 3D: Straw Hat Chase,3/19/2011,68,"Animation, Adventure",JP
Tomorrow Never Dies,1/16/1998,63,"Adventure, Action, Thriller",AU
Hellboy II: The Golden Army,7/29/2008,68,"Fantasy, Action",AU
American Pie: Revealed,1/2/2004,59,"Documentary, Comedy",US
All Ladies Do It,2/21/1992,46,"Comedy, Drama",IT
Back to the Future Part III,6/28/1990,75,"Adventure, Comedy, Science Fiction",AU
Naruto the Movie: Legend of the Stone of Gelel,8/6/2005,66,"Animation, Adventure, Fantasy",JP
Neighbors,5/8/2014,62,Comedy,AU
Red Sparrow,4/9/2018,65,"Mystery, Thriller",AU
The Unborn,1/9/2009,52,"Horror, Thriller, Mystery",US
The Gods Must Be Crazy,8/9/1984,73,"Action, Comedy",AU
Lights Out,7/21/2016,63,"Horror, Thriller, Mystery",AU
Scary Stories to Tell in the Dark,9/26/2019,65,"Horror, Thriller",AU
Young Mother-in-Law,3/9/2018,90,Romance,KR
Return of the Jedi,6/2/1983,79,"Adventure, Action, Science Fiction",AU
